Hdr No,PurchaseOrderNumber,LineNumber,ReleaseNumber,ItemNumber,ItemDescription,Grade,Shape,Ground,Finish Type,Diameter,Thickness,Length,Width
18,184470-00,4.0,,MTL-CS1215-R1000,"1"" Round 1215 Steel",1215,Round,No,,1.0,,144.0,
18,184470-00,5.0,,MTL-CS1215-R1250,"1-1/4"" Round 1215 Steel",1215,Round,No,,1.25,,144.0,
18,184470-00,6.0,,MTL-CS1215-R2125,"2-1/8"" RD 1215 Steel",1215,Round,No,,2.125,,144.0,
18,184470-00,7.0,,MTL-CS12L14H0813,"13/16"" Hex 12L14 Steel",12L14,Hex,No,,0.8125,,144.0,
18,184470-00,8.0,,MTL-CS12L14H0937,"15/16"" Hex 12L14 Steel",12L14,Hex,No,,0.9375,,144.0,
19,184501-00,1.0,,MTL-CS1215-R1250,"1-1/4"" Round 1215 Steel",1215,Round,No,,1.25,,144.0,
19,184501-00,2.0,,MTL-CS12L14R2375,"2-3/8"" Round 12L14 Steel",12L14,Round,No,,2.375,,144.0,
20,184578-00,1.0,,MTL-CS1215-H1250,1-1/4 Hex 1215 Steel,1215,Hex,No,,1.25,,144.0,
20,184578-01,2.0,,MTL-CS1215-H1375,"1-3/8"" Hex 1215 Steel",1215,Hex,No,,1.375,,144.0,
20,184578-02,3.0,,MTL-CS1215-R1000,"1"" Round 1215 Steel",1215,RD,No,,1.0,,144.0,
20,184578-03,4.0,,MTL-CS1215-R1000,"1"" Round 1215 Steel",1215,Round,No,,1.0,,144.0,
20,184578-04,5.0,,MTL-CS1215-R1438,"1-7/16"" Round 1215 Steel",1215,Round,No,,1.4375,,144.0,
20,184578-05,6.0,,MTL-CS12L14-H0750 SC2,"3/4"" Hex 12L14 Steel Saw Cut 2 ends",12L14,Hex,No,,0.75,,144.0,
20,184578-06,7.0,,MTL-CS12L14H0875,"7/8"" Hex 12L14 Steel",12L14,Hex,No,,0.875,,144.0,
